591	91	537	750	120
643	758	705	699	566
155	349	940	363	985
698	220	522	553	826
361	993	69	720	393
412	578	362	46	828
909	156	851	468	334
921	168	329	551	584
377	137	833	830	885
429	736	981	643	559
925	272	866	371	468
826	1000	607	821	251
664	330	986	596	78
777	31	322	740	928
70	630	742	757	226
26	133	185	10	824
637	771	572	993	227
814	771	336	166	548
825	762	204	390	839
379	157	558	113	982
494	111	499	537	165
332	922	1000	642	790
316	452	905	413	441
789	852	49	246	888
338	243	875	636	362
764	934	121	368	69
714	155	381	223	590
432	760	175	779	741
562	310	651	134	490
964	611	880	427	449
662	40	640	627	110
529	551	656	198	277
316	194	147	315	585
240	171	565	718	951
704	193	982	283	450
253	835	633	153	591
624	491	453	123	68
3	206	721	374	651
321	808	701	79	501
719	33	256	367	541
998	920	979	553	401
689	398	510	180	825
228	415	80	863	665
906	959	697	899	897
990	235	86	265	457
444	149	387	986	526
17	78	180	715	743
758	986	640	984	489
731	113	885	62	701
414	477	340	847	631
164	84	624	193	640
184	885	939	678	263
956	383	420	675	555
739	123	850	671	344
426	969	400	615	890
143	749	215	269	17
934	413	620	684	336
979	464	960	138	143
762	177	778	204	393
938	201	940	661	475
902	216	485	432	393
166	140	295	347	530
731	893	216	475	11
743	304	641	735	872
216	163	486	689	260
433	346	470	441	811
961	13	892	302	132
821	815	953	822	158
934	331	588	894	738
944	440	844	81	913
784	894	387	967	608
19	271	240	955	575
233	425	901	563	350
607	285	654	41	8
59	973	523	370	435
413	827	963	863	401
836	493	583	892	975
746	169	17	178	32
128	580	215	879	273
529	281	129	598	310
266	212	366	980	342
416	977	829	759	278
375	814	46	414	813
663	139	400	871	57
963	406	511	331	838
512	777	23	643	564
826	521	943	480	754
189	517	428	663	965
424	198	81	827	620
631	624	331	194	724
389	2	108	207	247
194	612	809	599	46
782	831	941	132	226
139	435	369	47	892
24	197	787	306	786
91	495	69	492	347
103	312	969	809	107
152	781	796	305	595
221	469	956	88	249
457	998	260	163	605
712	772	202	187	718
953	584	294	634	540
787	396	277	332	248
153	318	945	377	925
257	325	311	850	172
839	645	982	382	237
22	559	140	541	319
646	708	482	900	951
887	238	246	988	632
277	49	739	416	729
466	902	43	834	214
858	888	336	460	321
368	162	812	255	880
496	100	887	479	758
302	802	725	952	241
426	390	63	147	439
349	943	981	854	168
742	809	380	978	497
274	622	684	715	928
555	473	597	152	343
496	750	239	345	898
716	222	909	41	767
712	606	861	266	769
957	948	135	547	295
921	126	519	933	626
10	605	737	58	803
751	50	564	353	594
881	95	697	108	613
863	976	656	228	198
135	94	687	148	611
984	816	354	411	102
722	572	219	22	5
476	717	327	413	381
100	861	786	80	634
825	616	453	818	288
341	290	404	17	582
780	119	609	634	630
234	262	375	288	57
578	986	697	815	328
893	458	771	912	345
475	510	265	234	876
422	393	482	504	556
148	855	421	775	429
864	56	139	28	619
10	396	443	264	499
503	744	879	736	32
864	971	128	599	117
815	843	617	138	57
818	301	196	53	712
405	27	314	75	304
545	464	529	529	191
207	531	717	815	754
721	326	319	638	805
264	784	868	398	174
233	178	965	650	769
459	650	697	441	285
673	695	908	799	27
965	228	519	369	262
461	928	906	172	130
385	541	124	201	690
323	442	8	917	685
48	24	824	649	282
607	993	653	595	505
694	347	854	39	877
944	455	756	658	951
80	164	988	660	693
141	124	469	325	863
373	339	222	378	195
34	336	56	453	491
191	191	737	542	679
510	283	550	327	424
357	870	565	141	698
40	137	745	524	438
909	809	151	370	562
648	707	558	763	708
350	797	956	245	133
69	812	442	787	447
490	685	147	558	821
747	80	419	476	28
185	282	288	483	340
12	753	946	169	714
1	661	558	67	236
273	271	696	803	20
464	27	817	980	795
102	302	114	893	486
975	686	2	87	119
533	834	229	330	920
841	109	968	535	694
171	833	292	764	823
293	319	657	562	853
492	101	584	93	465
51	315	222	44	472
926	674	534	556	451
158	577	628	676	295
887	209	432	364	605
511	481	636	210	383
601	51	213	884	673
965	311	115	818	751
813	20	78	876	743
475	590	799	272	792
223	113	151	342	767
762	395	37	259	758
446	972	460	799	351
180	89	789	920	279
522	810	97	688	243
999	551	571	901	546
517	381	477	581	707
471	233	502	826	454
322	540	679	189	101
570	74	74	351	264
751	854	743	291	263
497	391	240	183	729
779	656	303	723	62
901	341	402	296	666
760	277	239	63	865
294	43	284	685	688
632	359	227	921	207
178	330	996	737	227
291	32	706	925	356
651	999	106	429	877
56	991	417	479	148
134	356	497	410	532
898	236	291	690	672
933	506	751	502	467
174	18	813	692	253
602	537	102	318	903
618	88	712	494	174
186	197	14	398	201
679	999	294	31	448
405	569	812	911	44
299	270	173	751	918
434	814	441	558	466
871	722	798	751	314
451	280	983	509	805
308	479	537	871	138
