93	34	74	72	82
68	1	46	14	62
93	54	91	12	46
96	65	86	69	99
14	48	11	7	43
88	57	90	31	44
56	63	37	13	47
73	56	74	58	5
75	28	69	64	85
78	3	31	90	39
25	91	79	73	89
75	16	55	83	26
29	30	4	47	40
28	28	10	54	72
68	81	8	55	15
82	37	19	81	72
54	87	88	82	85
89	4	1	7	28
70	36	22	29	10
98	42	41	37	65
22	7	20	58	46
10	23	85	78	82
71	24	98	26	66
38	80	82	14	74
78	77	93	61	34
90	65	22	43	73
31	58	13	97	57
34	98	81	17	89
92	52	80	22	22
86	79	25	80	79
54	35	70	71	36
43	74	5	68	28
81	13	75	97	12
94	77	45	56	5
31	67	99	75	80
91	77	30	58	40
60	62	36	47	33
81	13	69	42	10
86	17	31	21	24
32	83	71	15	20
